t,y0,y1,y2,error_norm,h
13.2132132132,0.8186516602,0.0000145543,0.1813337855,0.1973873562,0.1031822555
13.3133133133,0.8180175029,0.0000145106,0.1819679865,0.1939604372,0.1031822555
13.4134134134,0.8173871368,0.0000144673,0.1825983960,0.1906141114,0.1031822555
13.5135135135,0.8167605141,0.0000144244,0.1832250615,0.1958205330,0.1053396106
13.6136136136,0.8161375880,0.0000143818,0.1838480302,0.1958205330,0.1053396106
13.7137137137,0.8155183124,0.0000143397,0.1844673479,0.1924185575,0.1053396106
13.8138138138,0.8149026423,0.0000142980,0.1850830597,0.1973483921,0.1074674202
13.9139139139,0.8142905333,0.0000142568,0.1856952100,0.1938989907,0.1074674202
14.0140140140,0.8136819420,0.0000142159,0.1863038422,0.1905307143,0.1074674202
14.1141141141,0.8130768257,0.0000141754,0.1869089989,0.1957197024,0.1097192964
14.2142142142,0.8124751427,0.0000141353,0.1875107221,0.1922968642,0.1097192964
14.3143143143,0.8118768517,0.0000140955,0.1881090528,0.1972151991,0.1119422012
14.4144144144,0.8112819124,0.0000140562,0.1887040314,0.1937458229,0.1119422012
14.5145145145,0.8106902853,0.0000140171,0.1892956976,0.1903580619,0.1119422012
14.6146146146,0.8101019313,0.0000139784,0.1898840902,0.1955421480,0.1142969427
14.7147147147,0.8095168124,0.0000139400,0.1904692477,0.1921005454,0.1142969427
14.8148148148,0.8089348908,0.0000139019,0.1910512073,0.1921005454,0.1142969427
14.9149149149,0.8083561297,0.0000138642,0.1916300062,0.1970178511,0.1166228517
15.0150150150,0.8077804927,0.0000138269,0.1922056804,0.1935302961,0.1166228517
15.1151151151,0.8072079444,0.0000137899,0.1927782657,0.1901248253,0.1166228517
15.2152152152,0.8066384497,0.0000137532,0.1933477971,0.1953122940,0.1190883471
15.3153153153,0.8060719743,0.0000137168,0.1939143089,0.1918534575,0.1190883471
15.4154154154,0.8055084843,0.0000136807,0.1944778351,0.1918534575,0.1190883471
