t,m,p,error_norm,h
7.4418604651,0.2528595995,3.7767858737,0.2194830241,0.2390785471
7.5018754689,0.2536438252,3.7319857003,0.2194830241,0.2390785471
7.5618904726,0.2545072382,3.6876739895,0.2194830241,0.2390785471
7.6219054764,0.2554507912,3.6438473330,0.2194830241,0.2390785471
7.6819204801,0.2564754594,3.6005022650,0.2364751837,0.2390785471
7.7419354839,0.2575822408,3.5576352693,0.2364751837,0.2390785471
7.8019504876,0.2587721565,3.5152427838,0.2364751837,0.2390785471
7.8619654914,0.2600462492,3.4733212042,0.2364751837,0.2390785471
7.9219804951,0.2614055843,3.4318668853,0.0076056819,0.1197217701
7.9819954989,0.2628512499,3.3908761482,0.0076056819,0.1197217701
8.0420105026,0.2643843558,3.3503452822,0.0813826707,0.1900899440
8.1020255064,0.2660060344,3.3102705491,0.0813826707,0.1900899440
8.1620405101,0.2677174396,3.2706481897,0.0813826707,0.1900899440
8.2220555139,0.2695197471,3.2314744257,0.0409481475,0.1645198229
8.2820705176,0.2714141543,3.1927454628,0.0409481475,0.1645198229
8.3420855214,0.2734018797,3.1544574942,0.0409481475,0.1645198229
8.4021005251,0.2754841625,3.1166067024,0.0866703658,0.1894918350
8.4621155289,0.2776622632,3.0791892614,0.0866703658,0.1894918350
8.5221305326,0.2799374621,3.0422013398,0.0866703658,0.1894918350
8.5821455364,0.2823110595,3.0056391025,0.0897668687,0.1894918350
8.6421605401,0.2847843756,2.9694987129,0.0897668687,0.1894918350
8.7021755439,0.2873587495,2.9337763353,0.0897668687,0.1894918350
8.7621905476,0.2900355389,2.8984681361,0.1112753299,0.1965288943
8.8222055514,0.2928161196,2.8635702863,0.1112753299,0.1965288943
8.8822205551,0.2957018855,2.8290789635,0.1112753299,0.1965288943
8.9422355589,0.2986942468,2.7949903532,0.1142666297,0.1965288943
9.0022505626,0.3017946304,2.7613006500,0.1142666297,0.1965288943
9.0622655664,0.3050044792,2.7280060600,0.1142666297,0.1965288943
9.1222805701,0.3083252508,2.6951028027,0.1142666297,0.1965288943
9.1822955739,0.3117584169,2.6625871109,0.1309283707,0.2010352030
9.2423105776,0.3153054631,2.6304552332,0.1309283707,0.2010352030
