t,y0,y1,y2,error_norm,h
1.2701270127,-7.1877293106,-7.6114263310,24.8150793624,0.2136086800,0.0085954837
1.2801280128,-7.2355742124,-7.7681343267,24.7092350376,0.2217677529,0.0085954837
1.2901290129,-7.2941332112,-7.9319929814,24.6217164688,0.2305713239,0.0085954837
1.3001300130,-7.3630202704,-8.1020195866,24.5535239253,0.2170273157,0.0084215487
1.3101310131,-7.4417884453,-8.2771443062,24.5055873749,0.2267240237,0.0084215487
1.3201320132,-7.5299268322,-8.4561988389,24.4787541251,0.2230741912,0.0082305882
1.3301330133,-7.6268567828,-8.6379063061,24.4737734978,0.2352585375,0.0082305882
1.3401340134,-7.7319276021,-8.8208730368,24.4912785277,0.2220807021,0.0080451283
1.3501350135,-7.8444119956,-9.0035829793,24.5317647637,0.2351644564,0.0080451283
1.3601360136,-7.9635015783,-9.1843955279,24.5955664144,0.2356287674,0.0078614800
1.3701370137,-8.0883028010,-9.3615475868,24.6828302215,0.2223533242,0.0076803445
1.3801380138,-8.2178336964,-9.5331607102,24.7934876524,0.2353556481,0.0076803445
1.3901390139,-8.3510219002,-9.6972541364,24.9272262350,0.2216101947,0.0075049059
1.4001400140,-8.4867044127,-9.8517644026,25.0834611310,0.2195736749,0.0073393386
1.4101410141,-8.6236295832,-9.9945720920,25.2613082472,0.2299380045,0.0073393386
1.4201420142,-8.7604618233,-10.1235360447,25.4595604792,0.2244771981,0.0071878722
1.4301430143,-8.8957894808,-10.2365349474,25.6766688773,0.2321959217,0.0071878722
1.4401440144,-9.0281362560,-10.3315158682,25.9107306211,0.2157180226,0.0070423401
1.4501450145,-9.1559764715,-10.4065487945,26.1594857983,0.2252092331,0.0070423401
1.4601460146,-9.2777542797,-10.4598855809,26.4203247871,0.2284738725,0.0070423401
1.4701470147,-9.3919068143,-10.4900213122,26.6903078725,0.2321780389,0.0070423401
1.4801480148,-9.4968909683,-10.4957553566,26.9661981931,0.2329741531,0.0070423401
1.4901490149,-9.5912133035,-10.4762491016,27.2445085307,0.2335191303,0.0070423401
1.5001500150,-9.6734623227,-10.4310769932,27.5215616894,0.2359696395,0.0070423401
1.5101510151,-9.7423420415,-10.3602674557,27.7935631781,0.2391651141,0.0070423401
1.5201520152,-9.7967056706,-10.2643305230,28.0566841770,0.2277532150,0.0068987483
1.5301530153,-9.8355879359,-10.1442694624,28.3071515581,0.2374732073,0.0068987483
1.5401540154,-9.8582345995,-10.0015745134,28.5413412748,0.2359962091,0.0067456518
1.5501550155,-9.8641276548,-9.8381978939,28.7558706210,0.2229605550,0.0065912897
1.5601560156,-9.8530048561,-9.6565104090,28.9476848431,0.2223060320,0.0064389080
1.5701570157,-9.8248724274,-9.4592412943,29.1141336339,0.2339582772,0.0064389080
1.5801580158,-9.7800101332,-9.2494040562,29.2530336098,0.2281620366,0.0062969675
1.5901590159,-9.7189682841,-9.0302121216,29.3627137318,0.2359414358,0.0062969675
1.6001600160,-9.6425566788,-8.8049886938,29.4420417697,0.2222027813,0.0061636908
1.6101610161,-9.5518259406,-8.5770756445,29.4904311529,0.2265014649,0.0061636908
1.6201620162,-9.4480420916,-8.3497460242,29.5078288794,0.2263567985,0.0061636908
1.6301630163,-9.3326555755,-8.1261244445,29.4946862704,0.2215168447,0.0061636908
1.6401640164,-9.2072661735,-7.9091187115,29.4519153597,0.2169456892,0.0061636908
1.6501650165,-9.0735853898,-7.7013651269,29.3808342949,0.2040326168,0.0061636908
1.6601660166,-8.9333979456,-7.5051888283,29.2831055078,0.1870470050,0.0061636908
1.6701670167,-8.7885238939,-7.3225793945,29.1606703562,0.1774308549,0.0061636908
1.6801680168,-8.6407827351,-7.1551810609,29.0156836751,0.1567914674,0.0061636908
1.6901690169,-8.4919606729,-7.0042960661,28.8504512065,0.1353417684,0.0061636908
1.7001700170,-8.3437818497,-6.8708991080,28.6673721875,0.1383096528,0.0062929333
1.7101710171,-8.1978841482,-6.7556605824,28.4688887670,0.1308719964,0.0064578463
1.7201720172,-8.0557998289,-6.6589761291,28.2574431964,0.1180132193,0.0064578463
1.7301730173,-7.9189410290,-6.5810001309,28.0354431546,0.1098881186,0.0066620465
1.7401740174,-7.7885899377,-6.5216809687,27.8052350916,0.1166699501,0.0069103110
1.7501750175,-7.6658932622,-6.4807961896,27.5690850318,0.1101016384,0.0072077225
1.7601760176,-7.5518605069,-6.4579860390,27.3291660821,0.1059928067,0.0073609113
1.7701770177,-7.4473654777,-6.4527842296,27.0875516684,0.1080027214,0.0076028935
1.7801780178,-7.3531503998,-6.4646450956,26.8462134971,0.1104190395,0.0080355397
1.7901790179,-7.2698320386,-6.4929666478,26.6070232399,0.1148919781,0.0082372601
1.8001800180,-7.1979092180,-6.5371092692,26.3717569678,0.1227828407,0.0084144987
1.8101810181,-7.1377711894,-6.5964100042,26.1421014778,0.1232767193,0.0084144987
1.8201820182,-7.0897063547,-6.6701925642,25.9196617413,0.1487204054,0.0085837769
1.8301830183,-7.0539109163,-6.7577732769,25.7059688125,0.1576446802,0.0085837769
1.8401840184,-7.0304970837,-6.8584632845,25.5024876247,0.1668719164,0.0085837769
1.8501850185,-7.0195005407,-6.9715673421,25.3106241922,0.1758506523,0.0085837769
1.8601860186,-7.0208869386,-7.0963795921,25.1317318080,0.1843026369,0.0085837769
1.8701870187,-7.0345572383,-7.2321767030,24.9671158754,0.1921768410,0.0085837769
1.8801880188,-7.0603517796,-7.3782087625,24.8180370573,0.2066864905,0.0085837769
1.8901890189,-7.0980530045,-7.5336883203,24.6857124489,0.2137846457,0.0085837769
1.9001900190,-7.1473868050,-7.6977779869,24.5713145006,0.2211904533,0.0085837769
1.9101910191,-7.2080225084,-7.8695770126,24.4759674276,0.2292548396,0.0085837769
1.9201920192,-7.2795715566,-8.0481072994,24.4007408622,0.2383351089,0.0085837769
1.9301930193,-7.3615849722,-8.2322993462,24.3466405229,0.2224450709,0.0083934419
1.9401940194,-7.4535497481,-8.4209786835,24.3145957031,0.2200751035,0.0082135005
1.9501950195,-7.5548843363,-8.6128534191,24.3054434305,0.2323530203,0.0082135005
1.9601960196,-7.6649334643,-8.8065036077,24.3199092268,0.2205007413,0.0080337018
1.9701970197,-7.7829625516,-9.0003732359,24.3585844834,0.2341492510,0.0080337018
1.9801980198,-7.9081520593,-9.1927656904,24.4219006395,0.2364308746,0.0078505852
1.9901990199,-8.0395921504,-9.3818436422,24.5101005003,0.2235314655,0.0076656638
2.0002000200,-8.1762780957,-9.5656343125,24.6232072532,0.2377365531,0.0076656638
2.0102010201,-8.3171069259,-9.7420411046,24.7609920048,0.2238863417,0.0074831756
2.0202020202,-8.4608758511,-9.9088624684,24.9229409750,0.2226820946,0.0073083018
2.0302030203,-8.6062829991,-10.0638187377,25.1082237350,0.2344430697,0.0073083018
2.0402040204,-8.7519310568,-10.2045874724,25.3156642269,0.2295243100,0.0071460915
2.0502050205,-8.8963343415,-10.3288473959,25.5437165764,0.2153064270,0.0070009125
2.0602060206,-9.0379297784,-10.4343306296,25.7904478600,0.2227507797,0.0070009125
2.0702070207,-9.1750921927,-10.5188823591,26.0535301719,0.2350507737,0.0070009125
2.0802080208,-9.3061540966,-10.5805263203,26.3302441822,0.2162665361,0.0068592800
2.0902090209,-9.4294300508,-10.6175339859,26.6174962395,0.2217327353,0.0068592800
2.1002100210,-9.5432453278,-10.6284944475,26.9118505042,0.2233338384,0.0068592800
2.1102110211,-9.6459684159,-10.6123816249,27.2095770200,0.2256585973,0.0068592800
2.1202120212,-9.7360465271,-10.5686148453,27.5067156488,0.2272877155,0.0068592800
2.1302130213,-9.8120430114,-10.4971088089,27.7991547868,0.2343904685,0.0068592800
2.1402140214,-9.8726752986,-10.3983090384,28.0827226500,0.2410326821,0.0068592800
2.1502150215,-9.9168517494,-10.2732094686,28.3532876988,0.2240034535,0.0067085028
2.1602160216,-9.9437057220,-10.1233496874,28.6068639776,0.2215684113,0.0065623847
2.1702170217,-9.9526250744,-9.9507905614,28.8397161621,0.2343999791,0.0065623847
2.1802180218,-9.9432755068,-9.7580683443,29.0484590771,0.2345348986,0.0064143221
2.1902190219,-9.9156163260,-9.5481289591,29.2301462340,0.2317608689,0.0062694417
2.2002200220,-9.8699076188,-9.3242454920,29.3823427819,0.2174056429,0.0061360622
2.2102210221,-9.8067082485,-9.0899232575,29.5031790376,0.2324363219,0.0061360622
2.2202220222,-9.7268646146,-8.8487976153,29.5913822335,0.2187847905,0.0060131326
2.2302230223,-9.6314906272,-8.6045301144,29.6462855654,0.2209774497,0.0060131326
2.2402240224,-9.5219398569,-8.3607085625,29.6678151893,0.2209290391,0.0060131326
2.2502250225,-9.3997712144,-8.1207559660,29.6564572614,0.2150474271,0.0060131326
2.2602260226,-9.2667098247,-7.8878524399,29.6132082269,0.2100767595,0.0060131326
2.2702270227,-9.1246049537,-7.6648730059,29.5395124037,0.1966312977,0.0060131326
2.2802280228,-8.9753868495,-7.4543428329,29.4371912615,0.1794692783,0.0060131326
2.2902290229,-8.8210242904,-7.2584102470,29.3083687867,0.1698900011,0.0060131326
2.3002300230,-8.6634844429,-7.0788366683,29.1553970141,0.1495422938,0.0060131326
2.3102310231,-8.5046963255,-6.9170016859,28.9807851455,0.1390817368,0.0060131326
2.3202320232,-8.3465188686,-6.7739208724,28.7871349387,0.1333312171,0.0061588864
2.3302330233,-8.1907142205,-6.6502735376,28.5770842406,0.1272324545,0.0063359560
2.3402340234,-8.0389265922,-6.5464375191,28.3532596899,0.1144706525,0.0063359560
2.3502350235,-7.8926666552,-6.4625282416,28.1182389399,0.1071223777,0.0065494573
2.3602360236,-7.7533012484,-6.3984394998,27.8745221605,0.1143966717,0.0068054247
2.3702370237,-7.6220479346,-6.3538838547,27.6245121039,0.1080148742,0.0071103876
2.3802380238,-7.4999738363,-6.3284308957,27.3705017838,0.1038107071,0.0072673840
2.3902390239,-7.3879980637,-6.3215421211,27.1146685855,0.1050301362,0.0077300096
2.4002400240,-7.2868970279,-6.3326015196,26.8590736246,0.1074422360,0.0079684557
2.4102410241,-7.1973119360,-6.3609413653,26.6056651730,0.1115689029,0.0081838428
2.4202420242,-7.1197577809,-6.4058629852,26.3562850434,0.1194198964,0.0083760209
2.4302430243,-7.0546332067,-6.4666525018,26.1126769629,0.1195999803,0.0083760209
2.4402440244,-7.0022307003,-6.5425917422,25.8764960820,0.1466394822,0.0085617795
2.4502450245,-6.9627466310,-6.6329646043,25.6493188985,0.1560975259,0.0085617795
2.4602460246,-6.9362907310,-6.7370592531,25.4326529807,0.1657768557,0.0085617795
2.4702470247,-6.9228946998,-6.8541665572,25.2279459926,0.1750405691,0.0085617795
2.4802480248,-6.9225196758,-6.9835751927,25.0365935918,0.1835671486,0.0085617795
2.4902490249,-6.9350623861,-7.1245638402,24.8599458366,0.1912599816,0.0085617795
2.5002500250,-6.9603598464,-7.2763908935,24.6993117754,0.2046834386,0.0085617795
2.5102510251,-6.9981925301,-7.4382820918,24.5559619215,0.2109120508,0.0085617795
2.5202520252,-7.0482859741,-7.6094164937,24.4311283204,0.2172775560,0.0085617795
2.5302530253,-7.1103108338,-7.7889112151,24.3260019331,0.2241820547,0.0085617795
2.5402540254,-7.1838814396,-7.9758053869,24.2417270580,0.2320445833,0.0085617795
2.5502550255,-7.2685529458,-8.1690438305,24.1793925228,0.2275449045,0.0083883128
2.5602560256,-7.3638172064,-8.3674610068,24.1400193958,0.2390418099,0.0083883128
2.5702570257,-7.4690975531,-8.5697658813,24.1245450056,0.2246767332,0.0081940036
2.5802580258,-7.5837427048,-8.7745284430,24.1338031120,0.2383061636,0.0081940036
2.5902590259,-7.7070200865,-8.9801687133,24.1685001805,0.2251736584,0.0079995282
2.6002600260,-7.8381088991,-9.1849491929,24.2291878466,0.2269201470,0.0078016754
2.6102610261,-7.9760933332,-9.3869717758,24.3162318231,0.2427704683,0.0078016754
2.6202620262,-8.1199563967,-9.5841802533,24.4297777508,0.2283373810,0.0076027867
2.6302630263,-8.2685748908,-9.7743695543,24.5697147684,0.2284522945,0.0074078101
2.6402640264,-8.4207161090,-9.9552028024,24.7356379328,0.2428975022,0.0074078101
2.6502650265,-8.5750368872,-10.1242371829,24.9268109212,0.2268149725,0.0072223207
2.6602660266,-8.7300856799,-10.2789594044,25.1421308800,0.2233614317,0.0070514617
2.6702670267,-8.8843082789,-10.4168310859,25.3800976247,0.2337561086,0.0070514617
2.6802680268,-9.0360577922,-10.5353440417,25.6387896446,0.2182883593,0.0068994663
2.6902690269,-9.1836093970,-10.6320847189,25.9158496404,0.2332572763,0.0068994663
2.7002700270,-9.3251801846,-10.7048063061,26.2084822429,0.2159121422,0.0067595801
2.7102710271,-9.4589542949,-10.7515063102,26.5134665022,0.2239146102,0.0067595801
2.7202720272,-9.5831131464,-10.7705064071,26.8271851506,0.2266293608,0.0067595801
2.7302730273,-9.6958703858,-10.7605308245,27.1456721104,0.2304572081,0.0067595801
2.7402740274,-9.7955106808,-10.7207787078,27.4646785181,0.2323165540,0.0067595801
2.7502750275,-9.8804312672,-10.6509858190,27.7797565817,0.2386001415,0.0067595801
2.7602760276,-9.9491846657,-10.5514707782,28.0863589359,0.2202640924,0.0066213730
2.7702770277,-10.0005208496,-10.4231616837,28.3799501139,0.2368080398,0.0066213730
2.7802780278,-10.0334268124,-10.2675997759,28.6561251396,0.2225810340,0.0064760988
2.7902790279,-10.0471615494,-10.0869181808,28.9107296378,0.2220197067,0.0063306200
2.8002800280,-10.0412844414,-9.8837954508,29.1399749438,0.2349844688,0.0063306200
2.8102810281,-10.0156753618,-9.6613853474,29.3405420209,0.2331328594,0.0061866364
2.8202820282,-9.9705451598,-9.4232262273,29.5096682258,0.2279283728,0.0060514750
2.8302830283,-9.9064357258,-9.1731348151,29.6452123239,0.2359891738,0.0060514750
2.8402840284,-9.8242094254,-8.9150904004,29.7456944942,0.2228010431,0.0059227409
2.8502850285,-9.7250283241,-8.6531160823,29.8103099847,0.2279038794,0.0059227409
